timestamp,city,temperature,humidity,precipitation,wind_speed,status
2026-09-11 06:51:24.118549,Moscow,14.5,73,0.0,13.6,success
2026-09-11 06:51:24.830137,London,16.1,91,0.0,9.4,success
2026-09-11 06:51:25.559578,New York,21.6,75,0.0,8.0,success
2026-09-11 06:51:26.278944,Tokyo,19.5,96,0.0,4.7,success
2026-09-11 06:51:54.136742,Moscow,14.5,73,0.0,13.6,success
2026-09-11 06:51:54.840810,London,16.1,91,0.0,9.4,success
2026-09-11 06:51:55.560424,New York,21.6,75,0.0,8.0,success
2026-09-11 06:51:56.262922,Tokyo,19.5,96,0.0,4.7,success
2026-09-11 06:52:24.103734,Moscow,14.5,73,0.0,13.6,success
2026-09-11 06:52:24.816477,London,16.1,91,0.0,9.4,success
2026-09-11 06:52:25.536423,New York,21.6,75,0.0,8.0,success
2026-09-11 06:52:26.242136,Tokyo,19.5,96,0.0,4.7,success
2026-09-11 06:52:54.113404,Moscow,14.5,73,0.0,13.6,success
2026-09-11 06:52:54.905644,London,16.1,91,0.0,9.4,success
2026-09-11 06:52:55.616302,New York,21.6,75,0.0,8.0,success
2026-09-11 06:52:56.356283,Tokyo,19.5,96,0.0,4.7,success
2026-09-11 06:53:24.096264,Moscow,14.5,73,0.0,13.6,success
2026-09-11 06:53:24.792878,London,16.1,91,0.0,9.4,success
2026-09-11 06:53:25.494296,New York,21.6,75,0.0,8.0,success
2026-09-11 06:53:26.188266,Tokyo,19.5,96,0.0,4.7,success
2026-09-11 06:53:54.086254,Moscow,14.5,73,0.0,13.6,success
2026-09-11 06:53:54.789230,London,16.1,91,0.0,9.4,success
2026-09-11 06:53:55.491290,New York,21.6,75,0.0,8.0,success
2026-09-11 06:53:56.185743,Tokyo,19.5,96,0.0,4.7,success
2026-09-11 06:54:24.093003,Moscow,14.5,73,0.0,13.6,success
2026-09-11 06:54:24.791169,London,16.1,91,0.0,9.4,success
2026-09-11 06:54:25.481424,New York,21.6,75,0.0,8.0,success
2026-09-11 06:54:26.182349,Tokyo,19.5,96,0.0,4.7,success
2026-09-11 06:54:54.097590,Moscow,14.5,73,0.0,13.6,success
2026-09-11 06:54:54.790022,London,16.1,91,0.0,9.4,success
2026-09-11 06:54:55.477033,New York,21.6,75,0.0,8.0,success
2026-09-11 06:54:56.173421,Tokyo,19.5,96,0.0,4.7,success
2026-09-11 06:55:24.112429,Moscow,14.5,73,0.0,13.6,success
2026-09-11 06:55:24.826193,London,16.1,91,0.0,9.4,success
2026-09-11 06:55:25.519140,New York,21.6,75,0.0,8.0,success
2026-09-11 06:55:26.214904,Tokyo,19.5,96,0.0,4.7,success
2026-09-11 06:55:54.093952,Moscow,14.5,73,0.0,13.6,success
2026-09-11 06:55:54.805727,London,16.1,91,0.0,9.4,success
2026-09-11 06:55:55.518011,New York,21.6,75,0.0,8.0,success
2026-09-11 06:55:56.229801,Tokyo,19.5,96,0.0,4.7,success
2026-09-11 06:56:24.092762,Moscow,14.5,73,0.0,13.6,success
2026-09-11 06:56:24.790693,London,16.1,91,0.0,9.4,success
2026-09-11 06:56:25.485393,New York,21.6,75,0.0,8.0,success
2026-09-11 06:56:26.178060,Tokyo,19.5,96,0.0,4.7,success
2026-09-11 06:56:54.111062,Moscow,14.5,73,0.0,13.6,success
2026-09-11 06:56:54.836572,London,16.1,91,0.0,9.4,success
2026-09-11 06:56:55.531213,New York,21.6,75,0.0,8.0,success
2026-09-11 06:56:56.226161,Tokyo,19.5,96,0.0,4.7,success
2026-09-11 06:57:24.092860,Moscow,14.5,73,0.0,13.6,success
2026-09-11 06:57:24.786614,London,16.1,91,0.0,9.4,success
2026-09-11 06:57:25.487124,New York,21.6,75,0.0,8.0,success
2026-09-11 06:57:26.185405,Tokyo,19.5,96,0.0,4.7,success
2026-09-11 06:57:54.101746,Moscow,14.5,73,0.0,13.6,success
2026-09-11 06:57:54.798170,London,16.1,91,0.0,9.4,success
2026-09-11 06:57:55.484629,New York,21.6,75,0.0,8.0,success
2026-09-11 06:57:56.172702,Tokyo,19.5,96,0.0,4.7,success
2026-09-11 06:58:24.116532,Moscow,14.5,73,0.0,13.6,success
2026-09-11 06:58:24.819712,London,16.1,91,0.0,9.4,success
2026-09-11 06:58:25.522790,New York,21.6,75,0.0,8.0,success
2026-09-11 06:58:26.225240,Tokyo,19.5,96,0.0,4.7,success
2026-09-11 06:58:54.087553,Moscow,14.5,73,0.0,13.6,success
2026-09-11 06:58:54.801730,London,16.1,91,0.0,9.4,success
2026-09-11 06:58:55.489540,New York,21.6,75,0.0,8.0,success
2026-09-11 06:58:56.192484,Tokyo,19.5,96,0.0,4.7,success
2026-09-11 06:59:24.102530,Moscow,14.5,73,0.0,13.6,success
2026-09-11 06:59:24.790941,London,16.1,91,0.0,9.4,success
2026-09-11 06:59:25.484384,New York,21.6,75,0.0,8.0,success
2026-09-11 06:59:26.178785,Tokyo,19.5,96,0.0,4.7,success
2026-09-11 06:59:54.102743,Moscow,14.5,73,0.0,13.6,success
2026-09-11 06:59:54.797332,London,16.1,91,0.0,9.4,success
2026-09-11 06:59:55.494726,New York,21.6,75,0.0,8.0,success
2026-09-11 06:59:56.189578,Tokyo,19.5,96,0.0,4.7,success
2026-09-11 07:00:24.086711,Moscow,14.8,71,0.0,13.5,success
2026-09-11 07:00:24.807387,London,16.1,90,0.0,9.4,success
2026-09-11 07:00:25.529016,New York,21.5,76,0.0,6.9,success
2026-09-11 07:00:26.252160,Tokyo,19.5,96,0.0,4.7,success
2026-09-11 07:00:54.089204,Moscow,14.8,71,0.0,13.5,success
2026-09-11 07:00:54.786216,London,16.1,90,0.0,9.4,success
2026-09-11 07:00:55.483961,New York,21.5,76,0.0,6.9,success
2026-09-11 07:00:56.195799,Tokyo,19.5,96,0.0,4.7,success
